,language,architecture,n_models,n_multilingual,mean_n_langs,n_monolingual,n_goldfish,n_english
0,wol,autoregressive,150,146,141,54.0,5,3,140
0,wol,bidirectional,150,4,4,234.75,0,0,4
0,diq,autoregressive,6,3,3,2.0,0,3,0
0,diq,bidirectional,6,3,3,307.3333333333333,0,0,3
0,hif,autoregressive,8,5,2,128.2,3,3,2
0,hif,bidirectional,8,3,3,307.3333333333333,0,0,3
0,aym,autoregressive,18,14,11,84.57142857142857,3,6,7
0,aym,bidirectional,18,4,4,231.5,0,0,3
0,aze,autoregressive,115,75,58,68.74666666666667,17,19,49
0,aze,bidirectional,115,40,33,81.075,7,0,31
0,pcd,autoregressive,3,0,0,,0,0,0
0,pcd,bidirectional,3,3,3,307.3333333333333,0,0,3
0,taq,autoregressive,1,0,0,,0,0,0
0,taq,bidirectional,1,1,1,468.0,0,0,1
0,sus,autoregressive,3,2,2,319.0,0,0,2
0,sus,bidirectional,3,1,1,468.0,0,0,1
0,kua,autoregressive,7,6,6,192.66666666666666,0,0,6
0,kua,bidirectional,7,1,1,468.0,0,0,1
0,fon,autoregressive,98,97,94,49.16494845360825,3,3,94
0,fon,bidirectional,98,1,1,468.0,0,0,1
0,mad,autoregressive,6,4,2,160.0,2,2,2
0,mad,bidirectional,6,2,2,238.5,0,0,1
0,uzb,autoregressive,119,85,72,59.95294117647059,13,16,64
0,uzb,bidirectional,119,34,27,82.88235294117646,7,0,25
0,chr,autoregressive,5,2,2,319.0,0,0,2
0,chr,bidirectional,5,3,3,307.3333333333333,0,0,3
0,mam,autoregressive,5,4,2,160.0,2,2,2
0,mam,bidirectional,5,1,1,468.0,0,0,1
0,bgp,autoregressive,4,4,2,160.0,2,2,2
0,bgp,bidirectional,4,0,0,,0,0,0
0,lvs,autoregressive,4,3,3,2.0,0,3,0
0,lvs,bidirectional,4,1,1,468.0,0,0,1
0,mag,autoregressive,23,21,5,46.857142857142854,16,2,5
0,mag,bidirectional,23,2,2,235.0,0,0,2
0,lat,autoregressive,83,52,45,76.67307692307692,7,4,44
0,lat,bidirectional,83,31,30,97.03225806451613,1,0,30
0,nij,autoregressive,3,2,2,319.0,0,0,2
0,nij,bidirectional,3,1,1,468.0,0,0,1
0,ckb,autoregressive,15,11,11,102.36363636363636,0,4,7
0,ckb,bidirectional,15,4,4,253.0,0,0,4
0,quc,autoregressive,3,2,2,319.0,0,0,2
0,quc,bidirectional,3,1,1,468.0,0,0,1
0,srp,autoregressive,281,241,223,38.365145228215766,18,8,221
0,srp,bidirectional,281,40,36,83.6,4,0,35
0,toj,autoregressive,3,2,2,319.0,0,0,2
0,toj,bidirectional,3,1,1,468.0,0,0,1
0,guj,autoregressive,277,229,205,44.951965065502186,24,8,201
0,guj,bidirectional,277,48,46,74.97916666666667,2,0,43
0,mns,autoregressive,1,0,0,,0,0,0
0,mns,bidirectional,1,1,1,468.0,0,0,1
0,pck,autoregressive,5,4,2,160.0,2,2,2
0,pck,bidirectional,5,1,1,468.0,0,0,1
0,gor,autoregressive,3,2,2,319.0,0,0,2
0,gor,bidirectional,3,1,1,468.0,0,0,1
0,wal,autoregressive,5,4,4,179.0,0,0,4
0,wal,bidirectional,5,1,1,468.0,0,0,1
0,tgl,autoregressive,221,168,157,37.125,11,4,157
0,tgl,bidirectional,221,53,46,63.320754716981135,7,0,46
0,lim,autoregressive,35,32,27,84.5625,5,4,26
0,lim,bidirectional,35,3,3,307.3333333333333,0,0,3
0,tlh,autoregressive,5,4,2,160.0,2,2,2
0,tlh,bidirectional,5,1,1,468.0,0,0,1
0,ctd,autoregressive,4,3,0,1.0,3,3,0
0,ctd,bidirectional,4,1,1,468.0,0,0,1
0,scn,autoregressive,19,11,6,32.27272727272727,5,4,4
0,scn,bidirectional,19,8,8,174.875,0,0,8
0,tdt,autoregressive,1,0,0,,0,0,0
0,tdt,bidirectional,1,1,1,468.0,0,0,1
0,asm,autoregressive,194,167,162,55.8562874251497,5,4,159
0,asm,bidirectional,194,27,25,91.22222222222223,2,0,22
0,ekk,autoregressive,4,3,3,2.0,0,3,0
0,ekk,bidirectional,4,1,1,468.0,0,0,1
0,tum,autoregressive,94,93,90,43.58064516129032,3,3,90
0,tum,bidirectional,94,1,1,468.0,0,0,1
0,yom,autoregressive,1,0,0,,0,0,0
0,yom,bidirectional,1,1,1,468.0,0,0,1
0,cym,autoregressive,139,107,94,62.177570093457945,13,4,94
0,cym,bidirectional,139,32,32,102.8125,0,0,32
0,bul,autoregressive,342,262,232,36.530534351145036,30,4,217
0,bul,bidirectional,342,80,72,50.3375,8,0,71
0,top,autoregressive,2,1,1,2.0,0,0,0
0,top,bidirectional,2,1,1,468.0,0,0,1
0,olo,autoregressive,3,0,0,,0,0,0
0,olo,bidirectional,3,3,3,307.3333333333333,0,0,3
0,ium,autoregressive,3,2,2,319.0,0,0,2
0,ium,bidirectional,3,1,1,468.0,0,0,1
0,csy,autoregressive,1,0,0,,0,0,0
0,csy,bidirectional,1,1,1,468.0,0,0,1
0,tok,autoregressive,1,0,0,,0,0,0
0,tok,bidirectional,1,1,1,468.0,0,0,1
0,kir,autoregressive,92,61,56,78.39344262295081,5,4,56
0,kir,bidirectional,92,31,31,104.96774193548387,0,0,30
0,sco,autoregressive,13,4,1,2.0,3,3,1
0,sco,bidirectional,13,9,9,158.66666666666666,0,0,9
0,cuk,autoregressive,3,2,2,319.0,0,0,2
0,cuk,bidirectional,3,1,1,468.0,0,0,1
0,sun,autoregressive,137,110,104,41.58181818181818,6,4,100
0,sun,bidirectional,137,27,24,103.62962962962963,3,0,23
0,syr,autoregressive,5,5,2,128.2,3,3,2
0,syr,bidirectional,5,0,0,,0,0,0
0,bjn,autoregressive,6,3,3,2.0,0,3,0
0,bjn,bidirectional,6,3,3,307.3333333333333,0,0,3
0,hun,autoregressive,413,354,332,33.85028248587571,22,4,328
0,hun,bidirectional,413,59,42,59.96610169491525,17,0,39
0,kbp,autoregressive,8,7,4,102.71428571428571,3,3,4
0,kbp,bidirectional,8,1,1,468.0,0,0,1
0,roh,autoregressive,31,27,24,109.44444444444444,3,3,24
0,roh,bidirectional,31,4,4,240.0,0,0,4
0,eus,autoregressive,268,235,216,45.42553191489362,19,4,216
0,eus,bidirectional,268,33,31,97.84848484848484,2,0,31
0,ces,autoregressive,670,607,567,27.2668863261944,40,4,547
0,ces,bidirectional,670,63,52,60.19047619047619,11,0,49
0,lbe,autoregressive,4,3,0,1.0,3,3,0
0,lbe,bidirectional,4,1,1,468.0,0,0,1
0,fur,autoregressive,9,6,3,55.5,3,3,3
0,fur,bidirectional,9,3,3,307.3333333333333,0,0,3
0,tur,autoregressive,1156,850,591,18.18941176470588,259,4,587
0,tur,bidirectional,1156,306,102,14.92483660130719,204,0,97
0,uig,autoregressive,48,29,22,95.79310344827586,7,6,22
0,uig,bidirectional,48,19,19,125.0,0,0,19
0,bis,autoregressive,21,19,19,65.42105263157895,0,0,19
0,bis,bidirectional,21,2,2,239.0,0,0,1
0,ace,autoregressive,10,5,2,128.2,3,3,2
0,ace,bidirectional,10,5,3,184.8,2,0,3
0,cre,autoregressive,5,4,4,129.5,0,0,4
0,cre,bidirectional,5,1,1,87.0,0,0,1
0,est,autoregressive,224,180,174,48.333333333333336,6,7,169
0,est,bidirectional,224,44,42,82.4090909090909,2,0,42
0,pag,autoregressive,11,8,5,121.375,3,3,5
0,pag,bidirectional,11,3,3,307.3333333333333,0,0,3
0,lub,autoregressive,8,7,5,153.85714285714286,2,2,5
0,lub,bidirectional,8,1,1,468.0,0,0,1
0,cak,autoregressive,5,4,2,160.0,2,2,2
0,cak,bidirectional,5,1,1,468.0,0,0,1
0,seh,autoregressive,3,2,2,319.0,0,0,2
0,seh,bidirectional,3,1,1,468.0,0,0,1
0,ext,autoregressive,3,0,0,,0,0,0
0,ext,bidirectional,3,3,3,307.3333333333333,0,0,3
0,vep,autoregressive,5,2,0,1.0,2,2,0
0,vep,bidirectional,5,3,3,307.3333333333333,0,0,3
0,zsm,autoregressive,10,9,9,18.11111111111111,0,4,5
0,zsm,bidirectional,10,1,1,468.0,0,0,1
0,tsn,autoregressive,125,120,116,58.858333333333334,4,4,116
0,tsn,bidirectional,125,5,4,186.8,1,0,4
0,zap,autoregressive,4,4,2,160.0,2,2,2
0,zap,bidirectional,4,0,0,,0,0,0
0,kik,autoregressive,104,103,101,46.349514563106794,2,2,96
0,kik,bidirectional,104,1,1,468.0,0,0,1
0,khm,autoregressive,209,173,166,38.104046242774565,7,4,164
0,khm,bidirectional,209,36,31,79.66666666666667,5,0,31
0,ary,autoregressive,17,12,8,1.75,4,0,1
0,ary,bidirectional,17,5,4,97.4,1,0,1
0,eng,autoregressive,75577,66022,13348,1.9737057344521522,52674,4,66022
0,eng,bidirectional,75577,9555,654,1.6051282051282052,8901,0,9555
0,fuv,autoregressive,4,3,3,2.0,0,3,0
0,fuv,bidirectional,4,1,1,468.0,0,0,1
0,mau,autoregressive,1,0,0,,0,0,0
0,mau,bidirectional,1,1,1,468.0,0,0,1
0,ksd,autoregressive,3,2,2,319.0,0,0,2
0,ksd,bidirectional,3,1,1,468.0,0,0,1
0,pau,autoregressive,3,2,2,319.0,0,0,2
0,pau,bidirectional,3,1,1,468.0,0,0,1
0,ltg,autoregressive,8,5,5,128.8,0,3,2
0,ltg,bidirectional,8,3,3,307.3333333333333,0,0,3
0,snd,autoregressive,82,62,58,81.85483870967742,4,4,58
0,snd,bidirectional,82,20,20,123.1,0,0,20
0,glv,autoregressive,11,8,6,144.75,2,2,6
0,glv,bidirectional,11,3,3,307.3333333333333,0,0,3
0,abk,autoregressive,41,13,7,42.30769230769231,6,3,6
0,abk,bidirectional,41,28,11,18.285714285714285,17,0,2
0,mak,autoregressive,4,2,2,319.0,0,0,2
0,mak,bidirectional,4,2,2,238.5,0,0,1
0,bzd,autoregressive,1,0,0,,0,0,0
0,bzd,bidirectional,1,1,1,468.0,0,0,1
0,hui,autoregressive,3,2,2,319.0,0,0,2
0,hui,bidirectional,3,1,1,468.0,0,0,1
0,cos,autoregressive,13,10,6,116.0,4,4,6
0,cos,bidirectional,13,3,3,307.3333333333333,0,0,3
0,pam,autoregressive,8,5,2,128.2,3,3,2
0,pam,bidirectional,8,3,3,307.3333333333333,0,0,3
0,sag,autoregressive,9,8,5,127.25,3,3,5
0,sag,bidirectional,9,1,1,468.0,0,0,1
0,quy,autoregressive,7,6,6,107.66666666666667,0,4,2
0,quy,bidirectional,7,1,1,468.0,0,0,1
0,szl,autoregressive,9,6,3,55.5,3,3,3
0,szl,bidirectional,9,3,3,307.3333333333333,0,0,3
0,tam,autoregressive,380,318,282,35.314465408805034,36,6,273
0,tam,bidirectional,380,62,56,59.354838709677416,6,0,51
0,nyu,autoregressive,3,2,2,319.0,0,0,2
0,nyu,bidirectional,3,1,1,468.0,0,0,1
0,pon,autoregressive,5,4,2,160.0,2,2,2
0,pon,bidirectional,5,1,1,468.0,0,0,1
0,nob,autoregressive,75,43,43,26.790697674418606,0,4,31
0,nob,bidirectional,75,32,32,47.625,0,0,10
0,suz,autoregressive,3,2,2,319.0,0,0,2
0,suz,bidirectional,3,1,1,468.0,0,0,1
0,zza,autoregressive,9,8,5,80.875,3,6,2
0,zza,bidirectional,9,1,1,468.0,0,0,1
0,swe,autoregressive,607,534,509,28.05805243445693,25,4,489
0,swe,bidirectional,607,73,61,51.38356164383562,12,0,46
0,sat,autoregressive,4,3,1,7.666666666666667,2,2,1
0,sat,bidirectional,4,1,1,468.0,0,0,1
0,rug,autoregressive,1,0,0,,0,0,0
0,rug,bidirectional,1,1,1,468.0,0,0,1
0,mah,autoregressive,6,5,5,215.0,0,0,5
0,mah,bidirectional,6,1,1,468.0,0,0,1
0,bsb,autoregressive,2,2,0,1.0,2,2,0
0,bsb,bidirectional,2,0,0,,0,0,0
0,frr,autoregressive,3,2,0,1.0,2,2,0
0,frr,bidirectional,3,1,1,468.0,0,0,1
0,grn,autoregressive,30,27,24,113.81481481481481,3,3,24
0,grn,bidirectional,30,3,3,307.3333333333333,0,0,3
0,pbt,autoregressive,5,4,4,2.0,0,4,0
0,pbt,bidirectional,5,1,1,468.0,0,0,1
0,oci,autoregressive,72,64,60,57.34375,4,4,60
0,oci,bidirectional,72,8,8,174.875,0,0,8
0,kri,autoregressive,3,2,2,319.0,0,0,2
0,kri,bidirectional,3,1,1,468.0,0,0,1
0,kmb,autoregressive,6,5,2,128.2,3,3,2
0,kmb,bidirectional,6,1,1,468.0,0,0,1
0,pnb,autoregressive,12,4,0,1.0,4,4,0
0,pnb,bidirectional,12,8,8,174.875,0,0,8
0,ote,autoregressive,1,0,0,,0,0,0
0,ote,bidirectional,1,1,1,468.0,0,0,1
0,nde,autoregressive,7,6,3,73.33333333333333,3,3,3
0,nde,bidirectional,7,1,1,468.0,0,0,1
0,mya,autoregressive,246,212,160,32.820754716981135,52,4,160
0,mya,bidirectional,246,34,33,95.97058823529412,1,0,33
0,kom,autoregressive,14,11,8,98.54545454545455,3,5,5
0,kom,bidirectional,14,3,3,307.3333333333333,0,0,3
0,rus,autoregressive,2612,2274,1931,13.322779243623572,343,7,1915
0,rus,bidirectional,2612,338,181,15.192307692307692,157,0,164
0,hne,autoregressive,8,7,5,138.57142857142858,2,2,5
0,hne,bidirectional,8,1,1,468.0,0,0,1
0,nch,autoregressive,1,0,0,,0,0,0
0,nch,bidirectional,1,1,1,468.0,0,0,1
0,iku,autoregressive,9,9,6,128.77777777777777,3,3,6
0,iku,bidirectional,9,0,0,,0,0,0
0,sot,autoregressive,106,103,99,50.359223300970875,4,4,99
0,sot,bidirectional,106,3,3,165.33333333333334,0,0,3
0,sgs,autoregressive,3,0,0,,0,0,0
0,sgs,bidirectional,3,3,3,307.3333333333333,0,0,3
0,crh,autoregressive,10,7,2,91.85714285714286,5,5,2
0,crh,bidirectional,10,3,3,307.3333333333333,0,0,3
0,dzo,autoregressive,10,8,6,144.75,2,2,6
0,dzo,bidirectional,10,2,2,235.0,0,0,1
0,mri,autoregressive,37,33,29,68.0909090909091,4,4,28
0,mri,bidirectional,37,4,4,252.25,0,0,4
0,ron,autoregressive,634,583,548,25.740994854202402,35,4,544
0,ron,bidirectional,634,51,45,70.41176470588235,6,0,44
0,mlt,autoregressive,135,128,124,46.328125,4,4,124
0,mlt,bidirectional,135,7,6,162.57142857142858,1,0,6
0,bts,autoregressive,3,2,2,319.0,0,0,2
0,bts,bidirectional,3,1,1,468.0,0,0,1
0,lzh,autoregressive,7,4,4,2.0,0,3,0
0,lzh,bidirectional,7,3,3,307.3333333333333,0,0,3
0,tyv,autoregressive,15,10,7,88.4,3,3,7
0,tyv,bidirectional,15,5,5,186.6,0,0,3
0,tuk,autoregressive,18,14,10,80.28571428571429,4,4,10
0,tuk,bidirectional,18,4,4,253.0,0,0,4
0,bpy,autoregressive,7,2,0,1.0,2,2,0
0,bpy,bidirectional,7,5,5,189.6,0,0,3
0,pms,autoregressive,9,3,0,1.0,3,3,0
0,pms,bidirectional,9,6,6,157.5,0,0,6
0,gaz,autoregressive,4,3,3,2.0,0,3,0
0,gaz,bidirectional,4,1,1,468.0,0,0,1
0,guc,autoregressive,3,2,2,319.0,0,0,2
0,guc,bidirectional,3,1,1,468.0,0,0,1
0,ikk,autoregressive,1,0,0,,0,0,0
0,ikk,bidirectional,1,1,1,468.0,0,0,1
0,zne,autoregressive,3,2,2,319.0,0,0,2
0,zne,bidirectional,3,1,1,468.0,0,0,1
0,rue,autoregressive,5,2,0,1.0,2,2,0
0,rue,bidirectional,5,3,3,307.3333333333333,0,0,3
0,azj,autoregressive,5,4,4,2.0,0,4,0
0,azj,bidirectional,5,1,1,468.0,0,0,1
0,kpg,autoregressive,1,0,0,,0,0,0
0,kpg,bidirectional,1,1,1,468.0,0,0,1
0,por,autoregressive,4582,4302,4048,12.125987912598791,254,4,4041
0,por,bidirectional,4582,280,137,16.1,143,0,130
0,myv,autoregressive,8,5,2,128.2,3,3,2
0,myv,bidirectional,8,3,3,307.3333333333333,0,0,3
0,nhe,autoregressive,5,4,2,160.0,2,2,2
0,nhe,bidirectional,5,1,1,468.0,0,0,1
0,ibo,autoregressive,159,151,147,56.682119205298015,4,4,145
0,ibo,bidirectional,159,8,7,120.125,1,0,6
0,ixl,autoregressive,1,0,0,,0,0,0
0,ixl,bidirectional,1,1,1,468.0,0,0,1
0,pdc,autoregressive,3,0,0,,0,0,0
0,pdc,bidirectional,3,3,3,307.3333333333333,0,0,3
0,ncj,autoregressive,1,0,0,,0,0,0
0,ncj,bidirectional,1,1,1,468.0,0,0,1
0,crs,autoregressive,3,2,2,319.0,0,0,2
0,crs,bidirectional,3,1,1,468.0,0,0,1
